Game,Day,Date,Location,Game Start,Game End,Away,Home,Umpire #1 (Home Plate),Umpire #2 (Field),,,,,,,,,
1,Saturday,4/3/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,MLL Phoenix,MLL Panthers,,,,,,,,,,,
2,Saturday,4/3/2021,Gilman Playfield #2,11:00 AM,1:15 PM,BLL Blazing Tigers,BLL Devils,,,,,,,,,,,
3,Saturday,4/3/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,NCLL Dynamite,NCLL SantoriniDave.com,,,,,,,,,,,
4,Saturday,4/3/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,RUGLL Raptors,RUGLL Ravens,,,,,,,,,,,
5,Saturday,4/3/2021,West Queen Anne Playfield #2,2:00 PM,4:00 PM,NCLL Harjo Construction,QALL Phoenix,,,,,,,,,,,
6,Saturday,4/3/2021,Laurelhurst Playfield #1,3:00 PM,5:30 PM,NESLL Blue Angels,NESLL Thunder Sisters,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,Tuesday,4/6/2021,Lawton Park,5:00 PM,7:15 PM,NCLL SantoriniDave.com,MLL Phoenix,,,,,,,,,,,
8,Tuesday,4/6/2021,View Ridge Playfield #2,5:30 PM,7:45 PM,RUGLL Ravens,NESLL Blue Angels,,,,,,,,,,,
9,Tuesday,4/6/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,MLL Panthers,BLL Blazing Tigers,Wren Norris,,,,,,,,,,
10,Tuesday,4/6/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,BLL Devils,QALL Phoenix,,,,,,,,,,,
11,Tuesday,4/6/2021,Soundview Playfield #4,6:00 PM,8:00 PM,NESLL Thunder Sisters,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
12,Tuesday,4/6/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,NCLL Dynamite,NCLL Harjo Construction,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,Tuesday,4/13/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,NWLL Purple Thunder,RUGLL Raptors,,,,,,,,,,,
14,Tuesday,4/13/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,BLL Blazing Tigers,QALL Phoenix,,,,,,,,,,,
15,Tuesday,4/13/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,MLL Panthers,NCLL SantoriniDave.com,,,,,,,,,,,
16,Thursday,4/15/2021,Magnoliia Playfield #2,5:30 PM,7:45 PM,NCLL Harjo Construction,MLL Phoenix,,,,,,,,,,,
17,Thursday,4/15/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,NESLL Thunder Sisters,RUGLL Ravens,,,,,,,,,,,
18,Thursday,4/15/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,BLL Devils,NCLL Dynamite,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,Tuesday,4/20/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,BLL Devils,MLL Phoenix,,,,,,,,,,,
20,Tuesday,4/20/2021,Gilman Playfield #2,5:45 PM,8:00 PM,NCLL SantoriniDave.com,BLL Blazing Tigers,,,,,,,,,,,
21,Tuesday,4/20/2021,Maple Leaf Playfield #1,6:00 PM,8:15 PM,NESLL Blue Angels,RUGLL Raptors,,,,,,,,,,,
22,Tuesday,4/20/2021,Soundview Playfield #4,6:00 PM,8:15 PM,RUGLL Ravens,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
23,Tuesday,4/20/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,QALL Phoenix,NCLL Dynamite,,,,,,,,,,,
24,Thursday,4/22/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,MLL Panthers,NCLL Harjo Construction,,,,,,,,,,,
25,Saturday,4/24/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,QALL Phoenix,MLL Phoenix,,,,,,,,,,,
26,Saturday,4/24/2021,Dahl Playfield #3,11:00 AM,1:15 PM,RUGLL Raptors,NESLL Thunder Sisters,,,,,,,,,,,
27,Saturday,4/24/2021,Gilman Playfield #2,11:00 AM,1:15 PM,MLL Panthers,BLL Devils,,James Sand,,,,,,,,,
28,Saturday,4/24/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,NCLL SantoriniDave.com,NCLL Harjo Construction,,,,,,,,,,,
29,Saturday,4/24/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,BLL Blazing Tigers,NCLL Dynamite,,,,,,,,,,,
30,Saturday,4/24/2021,Soundview Playfield #3,12:30 PM,2:45 PM,NESLL Blue Angels,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31,Tuesday,4/27/2021,Ballard Community Center #2,5:45 PM,8:00 PM,NCLL Harjo Construction,BLL Blazing Tigers,,,,,,,,,,,
32,Tuesday,4/27/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,NESLL Thunder Sisters,RUGLL Ravens,,,,,,,,,,,
33,Tuesday,4/27/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,MLL Panthers,QALL Phoenix,,,,,,,,,,,
34,Tuesday,4/27/2021,Soundview Playfield #4,6:00 PM,8:15 PM,RUGLL Raptors,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
35,Tuesday,4/27/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,MLL Phoenix,NCLL Dynamite,,,,,,,,,,,
36,Thursday,4/29/2021,Lower Woodland Playfield #6,6:30 PM,8:30 PM,BLL Devils,NCLL SantoriniDave.com,,,,,,,,,,,
37,Saturday,5/1/2021,Gilman Playfield #2,11:00 AM,1:15 PM,NCLL Harjo Construction,BLL Devils,Wren Norris,,,,,,,,,,
38,Saturday,5/1/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,MLL Panthers,NCLL Dynamite,,,,,,,,,,,
39,Saturday,5/1/2021,Magnolia Playfield #2,12:00 PM,2:15 PM,BLL Blazing Tigers,MLL Phoenix,,,,,,,,,,,
40,Saturday,5/1/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,NESLL Blue Angels,RUGLL Ravens,,,,,,,,,,,
41,Saturday,5/1/2021,West Queen Anne Playfield #2,2:30 PM,4:30 PM,NCLL SantoriniDave.com,QALL Phoenix,,,,,,,,,,,
42,Saturday,5/1/2021,Laurelhurst Playfield #1,3:00 PM,5:15 PM,NWLL Purple Thunder,NESLL Thunder Sisters,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
43,Tuesday,5/4/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,MLL Panthers,MLL Phoenix,,,,,,,,,,,
44,Tuesday,5/4/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,BLL Devils,BLL Blazing Tigers,,,,,,,,,,,
45,Tuesday,5/4/2021,Dahl Playfield #3,6:00 PM,8:15 PM,NESLL Thunder Sisters,NESLL Blue Angels,,,,,,,,,,,
46,Tuesday,5/4/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,RUGLL Ravens,RUGLL Raptors,,,,,,,,,,,
47,Tuesday,5/4/2021,Soundview Playfield #4,6:00 PM,8:15 PM,SCLL Redwings,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
48,Tuesday,5/4/2021,Lower Woodland Playfield #5,6:15 PM,8:00 PM,QALL Phoenix,NCLL Harjo Construction,,,,,,,,,,,
49,Thursday,5/6/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,NCLL SantoriniDave.com,NCLL Dynamite,,,,,,,,,,,
50,Saturday,5/8/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,BLL Blazing Tigers,MLL Panthers,,,,,,,,,,,
51,Saturday,5/8/2021,Gilman Playfield #2,11:00 AM,1:15 PM,QALL Phoenix,BLL Devils,,Wren Norris,,,,,,,,,
52,Saturday,5/8/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,NCLL Harjo Construction,NCLL Dynamite,,,,,,,,,,,
53,Saturday,5/8/2021,Lower Woodland Playfield #6,11:30 AM,1:30 PM,MLL Phoenix,NCLL SantoriniDave.com,,,,,,,,,,,
54,Saturday,5/8/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,NWLL Purple Thunder,RUGLL Ravens,,,,,,,,,,,
55,Saturday,5/8/2021,Laurelhurst Playfield #1,3:00 PM,5:15 PM,RUGLL Raptors,NESLL Blue Angels,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
56,Tuesday,5/11/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,NCLL SantoriniDave.com,MLL Panthers,,,,,,,,,,,
57,Tuesday,5/11/2021,Gilman Playfield #1,5:45 PM,8:00 PM,QALL Phoenix,BLL Blazing Tigers,,,,,,,,,,,
58,Tuesday,5/11/2021,Dahl Playfield #3,6:00 PM,8:15 PM,NWLL Purple Thunder,NESLL Blue Angels,,,,,,,,,,,
59,Tuesday,5/11/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,MLL Phoenix,NCLL Harjo Construction,,,,,,,,,,,
60,Thursday,5/13/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,NCLL Dynamite,BLL Devils,,,,,,,,,,,
61,Thursday,5/13/2021,Dahl Playfield #3,6:00 PM,8:15 PM,RUGLL Raptors,NESLL Thunder Sisters,,,,,,,,,,,
62,Thursday,5/13/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,SCLL Redwings,RUGLL Ravens,,,,,,,,,,,
63,Saturday,5/15/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,NCLL Harjo Construction,MLL Panthers,,,,,,,,,,,
64,Saturday,5/15/2021,Gilman Playfield #2,11:00 AM,1:15 PM,MLL Phoenix,BLL Devils,,,,,,,,,,,
65,Saturday,5/15/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,BLL Blazing Tigers,NCLL SantoriniDave.com,,,,,,,,,,,
66,Saturday,5/15/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,RUGLL Raptors,RUGLL Ravens,,,,,,,,,,,
67,Saturday,5/15/2021,West Queen Anne Playfield #2,2:15 PM,4:15 PM,NCLL Dynamite,QALL Phoenix,,,,,,,,,,,
68,Saturday,5/15/2021,Laurelhurst Playfield #1,3:00 PM,5:30 PM,NESLL Blue Angels,NESLL Thunder Sisters,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
69,Tuesday,5/18/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,BLL Devils,MLL Panthers,,,,,,,,,,,
70,Tuesday,5/18/2021,Gilman Playfield #1,5:45 PM,8:00 PM,NCLL Dynamite,BLL Blazing Tigers,,,,,,,,,,,
71,Tuesday,5/18/2021,Dahl Playfield #3,6:00 PM,8:15 PM,SCLL Redwings,NESLL Thunder Sisters,,,,,,,,,,,
72,Tuesday,5/18/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,NESLL Blue Angels,RUGLL Raptors,,,,,,,,,,,
73,Tuesday,5/18/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,MLL Phoenix,QALL Phoenix,,,,,,,,,,,
74,Tuesday,5/18/2021,Soundview Playfield #3,6:00 PM,8:15 PM,RUGLL Ravens,NWLL Purple Thunder,Umpires NW,Umpires NW,,,,,,,,,
75,Tuesday,5/18/2021,Lower Woodland Playfield #5,6:15 PM,8:15 PM,NCLL Harjo Construction,NCLL SantoriniDave.com,,,,,,,,,,,
76,Thursday,5/20/2021,Dahl Playfield #3,6:00 PM,8:15 PM,RUGLL Ravens,NESLL Thunder Sisters,,,,,,,,,,,
77,Thursday,5/20/2021,Judkins Park #2,6:00 PM,8:15 PM,NESLL Blue Angels,SCLL Redwings,,,,,,,,,,,
78,Thursday,5/20/2021,Maple Leaf Playfield #1,6:00 PM,8:15 PM,NWLL Purple Thunder,RUGLL Raptors,,,,,,,,,,,
79,Saturday,5/22/2021,Loyal Heights Playfield #2,9:00 AM,11:15 AM,NCLL SantoriniDave.com,BLL Devils,Wren Norris,,,,,,,,,,
80,Saturday,5/22/2021,Magnolia Playfield #2,9:00 AM,11:15 AM,NCLL Dynamite,MLL Phoenix,,,,,,,,,,,
81,Saturday,5/22/2021,Lower Woodland Playfield #5,11:30 AM,1:30 PM,BLL Blazing Tigers,NCLL Harjo Construction,,,,,,,,,,,
82,Saturday,5/22/2021,Magnolia Playfield #2,12:00 PM,2:15 PM,QALL Phoenix,MLL Panthers,,,,,,,,,,,
83,Saturday,5/22/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,NESLL Thunder Sisters,RUGLL Raptors,,,,,,,,,,,
84,Saturday,5/22/2021,Laurelhurst Playfield #1,3:00 PM,5:15 PM,NWLL Purple Thunder,NESLL Blue Angels,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
85,Tuesday,5/25/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,MLL Phoenix,BLL Blazing Tigers,,,,,,,,,,,
86,Tuesday,5/25/2021,Dahl Playfield #3,6:00 PM,8:15 PM,NESLL Thunder Sisters,NESLL Blue Angels,,,,,,,,,,,
87,Tuesday,5/25/2021,Garfield Playfield #2,6:00 PM,8:15 PM,NWLL Purple Thunder,SCLL Redwings,,,,,,,,,,,
88,Tuesday,5/25/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,RUGLL Ravens,RUGLL Raptors,,,,,,,,,,,
89,Tuesday,5/25/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,BLL Devils,NCLL Harjo Construction,,,,,,,,,,,
90,Thursday,5/27/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,NCLL Dynamite,MLL Panthers,,,,,,,,,,,
91,Thursday,5/27/2021,Dahl Playfield #3,6:00 PM,8:15 PM,RUGLL Ravens,NESLL Blue Angels,,,,,,,,,,,
92,Thursday,5/27/2021,Judkins Park #2,6:00 PM,8:15 PM,RUGLL Raptors,SCLL Redwings,,,,,,,,,,,
93,Thursday,5/27/2021,Northacres Park #2,6:00 PM,8:15 PM,NESLL Thunder Sisters,NWLL Purple Thunder,Umpires NW,Umpires NW,4/7 - Changed from Ingraham High School due to a scheduling conflict,,,,,,,,
94,Thursday,5/27/2021,Lower Woodland Playfield #4,6:15 PM,8:00 PM,QALL Phoenix,NCLL SantoriniDave.com,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
